69.365	65.238	-321.587
10.780	70.025	-305.459
-48.316	72.349	-282.301
-106.469	72.153	-252.685
-162.247	69.441	-217.340
-214.275	64.281	-177.135
-261.274	56.799	-133.061
-302.086	47.180	-86.203
-335.705	35.661	-37.715
-361.305	22.525	11.209
-378.254	8.095	59.365
-386.136	-7.272	105.567
-384.755	-23.199	148.676
-374.148	-39.294	187.633
-354.573	-55.160	221.476
-326.514	-70.406	249.374
-290.662	-84.657	270.639
-247.899	-97.563	284.747
-199.277	-108.805	291.352
-145.996	-118.106	290.290
-89.365	-125.238	281.587
69.365	65.238	-321.587
15.441	54.540	-301.463
-39.109	41.761	-274.407
-92.942	27.215	-241.088
-144.733	11.260	-202.324
-193.207	-5.711	-159.071
-237.169	-23.281	-112.394
-275.538	-41.015	-63.442
-307.368	-58.479	-13.419
-331.876	-75.241	36.441
-348.458	-90.889	84.911
-356.707	-105.038	130.798
-356.418	-117.339	172.972
-347.600	-127.490	210.394
-330.468	-135.240	242.143
-305.446	-140.398	267.438
-273.148	-142.839	285.654
-234.372	-142.501	296.345
-190.070	-139.393	299.246
-141.335	-133.591	294.286
-89.365	-125.238	281.587
69.365	65.238	-321.587
25.285	39.988	-299.073
-19.663	13.015	-269.687
-64.374	-15.017	-234.152
-107.746	-43.418	-193.345
-148.711	-71.489	-148.269
-186.260	-98.539	-100.035
-219.470	-123.900	-49.830
-247.521	-146.950	1.109
-269.724	-167.119	51.529
-285.532	-183.913	100.187
-294.555	-196.916	145.886
-296.572	-205.810	187.500
-291.532	-210.375	224.005
-279.560	-210.498	254.502
-260.950	-206.176	278.240
-236.161	-197.517	294.634
-205.804	-184.733	303.280
-170.625	-168.138	303.966
-131.491	-148.143	296.676
-89.365	-125.238	281.587
69.365	65.238	-321.587
39.348	27.793	-298.523
8.116	-11.075	-268.602
-23.562	-50.409	-232.558
-54.906	-89.241	-191.281
-85.144	-126.614	-145.786
-113.532	-161.608	-97.194
-139.371	-193.361	-46.701
-162.024	-221.092	4.449
-180.934	-244.117	54.997
-195.635	-261.871	103.699
-205.765	-273.914	149.355
-211.074	-279.952	190.840
-211.433	-279.835	227.134
-206.831	-273.567	257.343
-197.383	-261.301	280.723
-183.321	-243.339	296.698
-164.991	-220.125	304.874
-142.845	-192.229	305.052
-117.428	-160.338	297.225
-89.365	-125.238	281.587
69.365	65.238	-321.587
56.254	19.148	-299.868
41.511	-28.152	-271.258
25.501	-75.497	-236.461
8.616	-121.722	-196.334
-8.728	-165.689	-151.865
-26.103	-206.315	-104.149
-43.081	-242.599	-54.361
-59.245	-273.648	-3.727
-74.196	-298.698	46.506
-87.566	-317.131	95.102
-99.026	-328.495	140.864
-108.295	-332.508	182.664
-115.143	-329.073	219.474
-119.402	-318.274	250.388
-120.967	-300.376	274.644
-119.800	-275.821	291.644
-115.929	-245.213	300.971
-109.450	-209.305	302.395
-100.522	-168.983	295.880
-89.365	-125.238	281.587
69.365	65.238	-321.587
74.347	14.900	-302.976
77.253	-36.543	-277.396
78.010	-87.825	-245.479
76.600	-137.683	-208.010
73.057	-184.890	-165.911
67.469	-228.283	-120.219
59.974	-266.793	-72.060
50.756	-299.473	-22.619
40.042	-325.518	26.887
28.095	-344.286	75.238
15.211	-355.315	121.244
1.706	-358.334	163.772
-12.088	-353.268	201.776
-25.830	-340.242	234.318
